timestamp_ms,event,best_bid,best_ask,mid_price,last_trade_price,last_trade_qty,vwap,sma,rsi,signal,signal_reason
1772090029217,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029304,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029399,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029486,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029572,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029657,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029740,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029824,trade,68234.40,68234.41,68234.40,68234.40,0.000360,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029909,trade,68234.40,68234.41,68234.40,68234.40,0.000100,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029994,trade,68234.40,68234.41,68234.40,68234.40,0.000100,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090030081,trade,68234.40,68234.41,68234.40,68234.41,0.002510,68234.40,68234.40,99.0,BUY,Price crossed VWAP upward
1772090030165,trade,68234.40,68234.41,68234.40,68225.07,0.014650,68234.24,68232.78,0.1,NONE,Price crossed VWAP downward
1772090030248,trade,68234.40,68234.41,68234.40,68225.07,0.014650,68233.98,68230.44,0.1,NONE,Price crossed VWAP downward
1772090030332,trade,68234.40,68234.41,68234.40,68223.80,0.006570,68233.83,68227.86,0.0,NONE,Price crossed VWAP downward
1772090030417,trade,68234.40,68234.41,68234.40,68223.80,0.006570,68233.71,68225.21,0.0,NONE,Price crossed VWAP downward
1772090030501,trade,68223.80,68223.81,68223.80,68223.81,0.040940,68233.35,68224.18,0.8,NONE,Price crossed VWAP downward
1772090030588,trade,68223.80,68223.81,68223.80,68223.81,0.040940,68232.70,68223.87,99.0,NONE,RSI exited oversold zone
1772090030672,trade,68223.80,68223.81,68223.80,68223.81,0.040940,68232.14,68223.81,99.0,NONE,RSI exited oversold zone
1772090030756,trade,68223.80,68223.81,68223.80,68223.81,0.000730,68232.13,68223.81,0.0,NONE,RSI exited overbought zone
1772090030840,trade,68223.80,68223.81,68223.80,68223.81,0.000730,68232.12,68223.81,0.0,NONE,RSI exited overbought zone
1772090030924,trade,68223.80,68223.81,68223.80,68223.81,0.000730,68232.11,68223.81,0.0,NONE,RSI exited overbought zone
1772090031008,trade,68223.80,68223.81,68223.80,68223.81,0.000730,68232.10,68223.81,0.0,NONE,RSI exited overbought zone
1772090031093,trade,68223.80,68223.81,68223.80,68223.81,0.000180,68232.09,68223.81,0.0,NONE,RSI exited overbought zone
1772090031178,trade,68223.80,68223.81,68223.80,68223.81,0.000180,68232.09,68223.81,0.0,NONE,RSI exited overbought zone
1772090031262,trade,68223.80,68223.81,68223.80,68223.81,0.000180,68232.09,68223.81,0.0,NONE,RSI exited overbought zone
